DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,ReleasedYear,ReleasedAnnounced
10001,108,10102,1663,10309,180,189,3323,2018,2018-08-09
10002,108,10103,2140,10028,212,291,5476,2018,2018-07-22
10003,108,10104,2140,10029,212,291,5475,2018,2018-07-01
10004,5,10105,1056,10040,357,35,5477,2018,2018-08-09
10005,5,10106,2201,10040,357,35,5478,2018,2018-08-09
10006,32,10107,2202,10028,314,278,5479,2017,2017-07-01
10007,31,10108,1646,10051,212,193,5480,2018,2018-12-03
10008,31,10109,1646,10051,212,193,5409,2018,2018-12-03
10009,31,10110,1646,10051,212,193,5409,2019,2018-12-31
10010,108,10111,2140,10029,212,291,5481,2018,2018-07-01
10011,108,10112,2200,10954,126,314,5482,2018,2018-06-02
10012,108,10113,2135,10334,154,185,5483,2018,2018-07-01
10013,108,10114,1946,10027,193,194,5484,2018,2018-07-01
10014,108,10115,2140,10963,212,252,5485,2018,2018-07-01
10015,32,10116,2125,10795,258,252,5486,2017,2017-07-01
10016,108,10117,2140,10079,212,252,5487,2018,2018-07-01
10017,5,10118,2203,10439,212,250,5488,2018,2018-09-18
10018,5,10119,2203,10439,212,250,5489,2018,2018-09-18
10019,5,10120,2203,10439,212,250,5488,2018,2018-09-18
10020,41,10121,1730,10717,115,236,4194,2019,2019-02-24
10021,5,10122,2203,10439,212,250,5489,2018,2018-09-18
10022,5,10123,2203,10439,212,250,5488,2018,2018-09-18
10023,32,10124,2125,10795,258,252,5490,2017,2017-07-01
10024,31,10125,1858,10950,154,199,5444,2018,2018-12-17
10025,180,10126,2204,10964,358,315,5491,2017,2017-08-22
10026,13,10127,2205,10308,212,193,5492,2019,2019-01-28
10027,13,10128,2205,10308,212,193,5493,2019,2019-01-28
10028,5,10129,1538,10558,116,194,3398,2019,2019-01-28
10029,5,10130,1685,10558,212,194,5494,2019,2019-01-28
10030,22,10131,1663,10058,258,307,5398,2019,2019-01-03
10031,31,10132,1855,10051,180,199,5495,2019,2019-01-29
10032,32,10133,1511,10028,258,278,5496,2018,2018-04-10
10033,31,10134,1855,10051,180,199,5370,2019,2019-07-01
10034,22,10135,1538,10946,116,158,5170,2019,2019-01-24
10035,45,10136,2206,10425,212,313,5497,2019,2019-01-24
10036,31,10137,1858,10116,126,199,5498,2018,2018-12-26
10037,179,10138,1534,10965,307,152,5499,2018,2018-01-05
10038,49,10139,1990,10966,359,158,5500,2019,2019-01-23
10039,21,10140,2207,10967,116,193,5501,2019,2019-01-20
10040,108,10141,2208,10921,126,316,5502,2018,2018-10-03
10041,108,10142,2208,10921,126,316,5502,2018,2018-10-03
10042,31,10143,1858,10116,126,199,5503,2019,2019-01-22
