ModelID;CategoryID;Model;Codename;GeneralExtras
10101;1;Enjoy 9 Dual SIM TD-LTE CN DUB-TL00;;Haptic touch feedback
10102;1;Y7 2019 Dual SIM LTE-A EMEA DUB-LX1 / Y7 Prime 2019 DUB-L21;;Haptic touch feedback
10103;1;LMX410FTW K Series K11 Alpha 2018 Dual SIM LTE-A LATAM;LG X410E;Haptic touch feedback
10104;1;LMV350EAW V35 ThinQ Dual SIM LTE-A LATAM 128GB;LG Storm;Haptic touch feedback , Tactile touch feedback
10105;1;LMQ610BA Q7+ DTV Dual SIM LTE-A LATAM;LG CV5A;Haptic touch feedback
10106;1;LMQ710BAW Q Note+ Dual SIM LTE-A LATAM;LG Q710E;Haptic touch feedback , Active stylus
10107;1;LMX410BCW K Series K11+ 2018 Dual SIM LTE-A LATAM;LG X410E;Haptic touch feedback
10108;1;GS370 Plus LTE Dual SIM;;Haptic touch feedback
10109;1;LMX410BTW K Series K11 Alpha 2018 Dual SIM LTE-A LATAM;LG X410E;Haptic touch feedback
10110;1;SM-J610G/DS Galaxy J6+ 2018 Duos TD-LTE LATAM APAC 32GB;Samsung J610;Haptic touch feedback
10111;1;SM-J610G/DS Galaxy J6+ 2018 Duos TD-LTE APAC 64GB;Samsung J610;Haptic touch feedback
10112;1;SM-J610G Galaxy J6+ Spark 2018 TD-LTE LATAM AU 32GB;Samsung J610;Haptic touch feedback
10113;1;Axon 10 Pro A2020 Standard Edition Dual SIM TD-LTE CN 128GB;ZTE A2020;Haptic touch feedback
10114;1;SM-J610F/DS Galaxy J6+ 2018 Duos TD-LTE EMEA APAC 64GB;Samsung J610;Haptic touch feedback
10115;1;SM-J610F/DS Galaxy J6+ 2018 Duos TD-LTE EMEA APAC 32GB;Samsung J610;Haptic touch feedback
10116;1;GS370 LTE Dual SIM;;Haptic touch feedback
10117;1;Nova 4 Premium Edition 20MP Dual SIM TD-LTE CN VCE-TL00;Huawei Venice;Haptic touch feedback
10118;1;Alpha-One Dual SIM TD-LTE CN TL99G;;Haptic touch feedback
10119;1;Realme C1 2019 Premium Edition Dual SIM TD-LTE IN 32GB RMX1811;BBK AX5B;Haptic touch feedback
10120;1;Realme C1 2019 Standard Edition Dual SIM TD-LTE IN 32GB RMX1811;BBK AX5B;Haptic touch feedback
10121;1;SM-M205F/DS Galaxy M20 Duos Global TD-LTE 32GB;Samsung M205;Haptic touch feedback
10122;1;SM-M105F/DS Galaxy M10 Duos TD-LTE IN 32GB;Samsung M105;Haptic touch feedback
10123;1;Redmi Go Global Dual SIM TD-LTE M1903C3GG;Xiaomi Tiare;Haptic touch feedback
10124;1;Nova Lite 3 Dual SIM TD-LTE JP 32GB POT-LX2J / POT-L62J / POT-L72J;Huawei Porto A;Haptic touch feedback
10125;1;GS180 LTE Dual SIM;;Haptic touch feedback
10126;1;P Smart 2019 Dual SIM LTE-A LATAM 64GB POT-LX3 / POT-L23;Huawei Porto A;Haptic touch feedback
10127;1;Redmi Note 7 Dual SIM TD-LTE IN 64GB M1901F7I / MZB7412IN / MZB7265IN / MZB7266IN;Xiaomi Lavender;Haptic touch feedback
10128;1;2 V LTE US;HMD Dynamo;Haptic touch feedback
10129;1;Honor V20 Standard Edition Dual SIM TD-LTE CN PCT-TL10;Huawei Princeton;Haptic touch feedback
10130;1;Xenium X598 Dual SIM TD-LTE CN;;Haptic touch feedback
10131;1;Zero TD-LTE CN;;Haptic touch feedback , Tactile touch feedback , Display speaker
10132;1;Black Shark Global Dual SIM TD-LTE 128GB SKR-H0;;Haptic touch feedback
10133;1;V405UAB V40 ThinQ VZW LTE-A US;LG Storm Plus;Haptic touch feedback , Tactile touch feedback
10134;1;V405UA0 V40 ThinQ USC LTE-A US;LG Storm Plus;Haptic touch feedback , Tactile touch feedback
10135;1;Honor View 20 Moschino Edition Global Dual SIM TD-LTE PCT-LX9 / PCT-L29;Huawei Princeton;Haptic touch feedback
10136;1;LMV405EB V40 ThinQ TD-LTE EMEA;LG Storm Plus;Haptic touch feedback , Tactile touch feedback
10137;1;V405UA V40 ThinQ Sprint TD-LTE US;LG Storm Plus;Haptic touch feedback , Tactile touch feedback
10138;1;LMQ610IS Q7 Alpha Dual SIM TD-LTE IN;LG CV5A;Haptic touch feedback
10139;1;Black Shark Global Dual SIM TD-LTE 64GB SKR-H0;;Haptic touch feedback
10140;1;Cosmo Communicator TD-LTE;;Haptic touch feedback
10141;1;G08 Dual SIM LTE APAC M2165;;Haptic touch feedback
10142;1;Vivo Y89 Dual SIM TD-LTE CN V1730EA;BBK V1730E;Haptic touch feedback
10143;3;Sport 43mm FTW4019P / FTW4021P;;
10144;3;Sport 41mm FTW6022P / FTW6024P / FTW6025P / FTW6026P / FTW6027P / FTW6028P;;
10145;1;Vivo Y20 Dual SIM TD;;Haptic touch feedback
10146;1;Vivo Y17 HSPA;;Haptic touch feedback
10147;1;Vivo Y622 HSPA;;Haptic touch feedback
10148;1;Z5s Standard Edition Dual SIM TD-LTE CN 64GB L78071;;Haptic touch feedback
10149;1;Z5s Premium Edition Dual SIM TD-LTE CN 64GB L78071;;Haptic touch feedback
10150;1;Z5 Pro GT Standard Edition Dual SIM TD-LTE CN 128GB L78032;;Haptic touch feedback
10151;1;Tommy 3 Plus Dual SIM TD-LTE APAC;;Haptic touch feedback
10152;1;Tommy LTE APAC M1563;;
10153;1;Z5s Premium Edition Dual SIM TD-LTE CN 128GB L78071;;Haptic touch feedback
10154;1;Vivo Y22iL 4G TD-LTE CN PD1309BL;;Haptic touch feedback
